id,name,url_search_string,label,homepage,notes,platform,stories_per_week,first_story,created_at,modified_at,pub_country,pub_state,primary_language,media_type,last_rescraped,last_rescraped_msg,collection_count,alternative_domains
115065,indiatimes.com,,indiatimes.com,http://indiatimes.com/,"This appears to be a generic content homepage, while the child source with a subdomain is the newspaper base URL.",online_news,6939.0,1995-04-19T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:50:57.036408Z,IND,,en,digital_native,2025-04-07T20:08:17.935580Z,"1/1 added, 0/1283 confirmed",21,[]
22331,thehindu.com,,Hindu,https://www.thehindu.com/,,online_news,4635.0,1997-09-20T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:45:01.409242Z,IND,IN-TN,en,,,,18,[]
20258,hindustantimes.com,,The Hindustan Times,http://www.hindustantimes.com/,Edited by VD,online_news,4977.0,2002-09-08T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:48.180142Z,IND,IN-DL,en,print_native,,,17,[]
39784,indiatimes.com,timesofindia.indiatimes.com/*,The Times of India,http://timesofindia.indiatimes.com/,"This appears to be the newspaper base URL, while the parent source is the more generic popular homepage.",online_news,11062.0,1995-04-19T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:46:20.826880Z,IND,IN-DL,en,print_native,,,16,[]
56899,indianexpress.com,,Indian Express,https://indianexpress.com/,,online_news,2527.0,1997-05-16T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:47:29.082659Z,IND,IN-MH,en,print_native,,,16,[]
19341,business-standard.com,,business-standard.com,http://www.business-standard.com/,,online_news,2284.0,1998-02-06T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-05T18:04:56.151120Z,IND,IN-DL,en,print_native,,,15,[]
65929,dnaindia.com,,dnaindia.com,http://www.dnaindia.com/,,online_news,696.0,2005-08-11T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:47:57.779656Z,IND,IN-MH,en,print_native,,,15,[]
56177,livemint.com,,livemint.com,http://www.livemint.com/,,online_news,1992.0,2007-03-15T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:47:27.184212Z,IND,IN-DL,en,print_native,,,15,[]
165995,manoramaonline.com,,manoramaonline.com,http://week.manoramaonline.com/,,online_news,238.0,2008-11-22T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:45:52.985123Z,IND,IN-KL,ml,print_native,,,14,[]
121578,deccanchronicle.com,,Deccan Chronicle,https://www.deccanchronicle.com/,,online_news,1334.0,2013-10-30T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:51:25.597629Z,IND,IN-AP,en,print_native,,,13,[]
262319,amarujala.com,,amarujala.com,https://www.amarujala.com/,,online_news,19839.0,1995-05-17T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:42:18.014462Z,IND,IN-DL,hi,print_native,,,12,[]
283378,asianage.com,,Asian Age,http://www.asianage.com/,,online_news,0.0,2012-03-25T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T15:02:44.993787Z,IND,IN-DL,en,print_native,,,11,[]
973649,newindianexpress.com,,newindianexpress.com,http://www.newindianexpress.com/,,online_news,2071.0,2008-11-25T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:47:27.074616Z,,,en,,,,11,[]
245499,oneindia.com,,oneindia.com,http://oneindia.com/,,online_news,2142.0,2000-06-16T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T14:06:47.356024Z,IND,,,digital_native,,,11,[]
219540,bhaskar.com,,bhaskar.com,https://www.bhaskar.com/,,online_news,14154.0,2004-05-06T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:49:21.581287Z,IND,IN-MP,hi,print_native,,,11,[]
39247,deccanherald.com,,Deccan Herald,http://www.deccanherald.com/,,online_news,,2009-05-20T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-05T19:49:52.814021Z,IND,IN-KA,en,print_native,,,11,[]
67989,thehindubusinessline.com,,Business Line,https://www.thehindubusinessline.com/,,online_news,1607.0,2000-01-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:48:03.309502Z,IND,IN-TN,en,print_native,,,10,[]
55376,telegraphindia.com,,telegraphindia.com,http://telegraphindia.com/,,online_news,,1996-12-12T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-05T21:05:16.235633Z,IND,IN-WB,en,print_native,,,10,[]
271169,patrika.com,,Rajasthan Patrika,https://www.patrika.com/rajasthan-news,,online_news,6077.0,2005-07-05T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-RJ,hi,print_native,,,9,[]
57626,tribuneindia.com,,tribuneindia.com,http://tribuneindia.com/,,online_news,2298.0,2004-11-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-05T21:22:43.024347Z,IND,IN-CH,en,print_native,,,9,[]
271157,jagran.com,,"Dainik Jagran:Hindi News,Latest News in Hindi,News in Hindi,Hindi News Paper",http://www.jagran.com/,,online_news,2380.0,2011-04-28T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:02.727791Z,IND,IN-UP,hi,print_native,,,9,[]
271176,sakshi.com,,Sakshi.com,http://www.sakshi.com/,,online_news,7.0,2015-06-25T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:02.980987Z,IND,IN-AP,te,print_native,,,8,[]
271162,livehindustan.com,,livehindustan.com,http://livehindustan.com,,online_news,169.0,2009-05-24T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-DL,hi,print_native,,,8,[]
40379,mumbaimirror.com,,mumbaimirror.com,http://www.mumbaimirror.com/,,online_news,,2008-05-24T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-05T19:57:30.311528Z,IND,IN-MH,en,print_native,,,8,[]
271170,dailypioneer.com,,Daily Pioneer,http://www.dailypioneer.com/,,online_news,,2013-04-25T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-DL,en,print_native,,,7,[]
271159,eenadu.net,,EENADU Online Edition - Telugu news paper,http://www.eenadu.net/,,online_news,,2019-01-04T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-AP,te,print_native,,,7,[]
240407,thestatesman.com,,thestatesman.com,https://www.thestatesman.com/tag/ghana,,online_news,,2013-12-02T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T14:02:38.672839Z,,,,,,,7,[]
271609,webdunia.com,,Hindi News | Hindi Website | News in Hindi | Hindi News Website | Hindi News Live | हिंदी वेबसाइट,http://webdunia.com/,,online_news,,2016-03-07T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:04:37.679672Z,IND,IN-MP,hi,print_native,,,6,[]
136476,freepressjournal.in,,freepressjournal.in,http://freepressjournal.in/,,online_news,2406.0,2001-04-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:43:20.419483Z,IND,IN-MH,en,print_native,,,6,[]
271158,dinakaran.com,,Dinakaran,http://www.dinakaran.com/,,online_news,63.0,2013-03-17T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-TN,ta,print_native,,,6,[]
271165,mailtoday.in,,mailtoday.in,http://mailtoday.in,,online_news,0.0,2019-09-21T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:02.818693Z,IND,IN-DL,en,print_native,,,6,[]
283408,sandesh.com,,Sandesh Gujarati Newspaper,http://www.sandesh.com,,online_news,,2016-04-14T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T15:03:43.791101Z,IND,IN-GJ,gu,print_native,,,6,[]
271151,anandabazar.com,,"Anandabazar | Latest News, Breaking News, Top News Headlines - Bengal, Kolkata, India | Business, Entertainment, Sports News",http://www.anandabazar.com/,,online_news,,2015-07-23T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-WB,bn,print_native,,,6,[]
271177,sanmarg.in,,Sanmarg e-Paper,http://www.sanmarg.in/,,online_news,420.0,2018-12-02T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:03.020034Z,IND,IN-WB,hi,print_native,,,6,[]
271608,vikatan.com,,"Leading Tamil Magazine & News Website offering Latest Tamil & India News, தமிழ் இதழ், சிறந்த தமிழ் பத்திரிகை- VIKATAN",http://www.vikatan.com/,,online_news,683.0,2006-01-29T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:05.683599Z,IND,IN-TN,ta,print_native,,,5,[]
271605,dinamalar.com,,Dinamalar,http://www.dinamalar.com/,,online_news,112.0,2017-08-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:04:37.679672Z,IND,IN-TN,ta,print_native,,,5,[]
200481,prokerala.com,,prokerala.com,http://prokerala.com/,,online_news,1.0,2000-01-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:48:08.006157Z,IND,IN-KL,en,digital_native,,,5,[]
271594,greatandhra.com,,greatandhra.com,http://www.greatandhra.com/index.php,,online_news,,2015-12-11T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:03:48.332335Z,IND,IN-AP,en,digital_native,,,5,[]
271175,rashtriyasahara.com,,Rashtriya Sahara E-Paper | Hindi E-paper | Online Newspaper,http://www.rashtriyasahara.com/,,online_news,,,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-DL,hi,print_native,,,5,[]
271173,punjabkesari.in,,"Breaking Hindi news, India News, Latest News Headlines, World news in Hindi, Hindi news paper",http://www.punjabkesari.in/,,online_news,,2014-01-26T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-PB,hi,print_native,,,5,[]
559242,aajtak.in,,Aaj Tak,https://www.aajtak.in/,,online_news,,2010-04-09T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-08-03T12:51:12.534591Z,IND,IN-DL,hi,,,,5,[]
262325,assamtribune.com,,assamtribune.com,http://assamtribune.com/,,online_news,233.0,1999-08-18T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:42:18.103249Z,IND,IN-AS,en,print_native,,,5,[]
283038,haribhoomi.com,,haribhoomi.com,http://haribhoomi.com/,,online_news,1025.0,2011-04-02T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:53.927021Z,IND,IN-HR,hi,print_native,,,5,[]
271156,dailythanthi.com,,Daily Thanthi: Tamil News | Tamilnadu News | Latest Tamil News,http://www.dailythanthi.com/,,online_news,1099.0,2017-07-09T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:02.551753Z,IND,IN-TN,ta,print_native,,,5,[]
271607,maalaimalar.com,,Tamil news | Tamil news online | Latest Tamil News,http://www.maalaimalar.com/,,online_news,,2016-03-05T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:04:37.679672Z,IND,IN-TN,ta,print_native,,,5,[]
282902,newdelhitimes.com,,newdelhitimes.com,http://newdelhitimes.com/,,online_news,180.0,2015-03-02T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:52.935885Z,IND,IN-DL,en,print_native,,,4,[]
282841,madhyamam.com,,madhyamam.com,http://madhyamam.com/,,online_news,2157.0,2016-01-08T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:52.531783Z,IND,IN-KL,ml,print_native,,,4,[]
271601,divyabhaskar.co.in,,Gujarati News - News in Gujarati - Gujarati News Paper - ગુજરાતી સમાચાર - Divya Bhaskar,http://www.divyabhaskar.co.in/,,online_news,2809.0,2017-01-28T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:44:05.628032Z,IND,IN-GJ,gu,print_native,,,4,[]
271598,andhrajyothy.com,,"Andhrajyothi for Latest Telugu NEWS,online NEWS,Breaking NEWS",http://www.andhrajyothy.com/,,online_news,,2020-03-15T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:03:48.332335Z,IND,IN-AP,te,print_native,,,4,[]
321044,mathrubhumi.com,,mathrubhumi.com,http://mathrubhumi.com/,,online_news,1247.0,2010-12-01T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:47:33.816318Z,IND,IN-KL,ml,print_native,,,4,[]
471477,citizenmatters.in,,citizenmatters.in,http://citizenmatters.in/,,online_news,8.0,2012-02-19T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-11-22T10:48:55.480481Z,,,en,,,,4,[]
271161,gujaratsamachar.com,,"Gujarat Samachar : World's Leading Gujarati Newspaper, Gujarati News, News in Gujarati, Gujarat News, News from Ahmedabad, Barod",http://www.gujaratsamachar.com/,,online_news,,2017-12-07T00:00:00Z,2022-12-23T17:43:28.547804Z,2025-10-06T14:01:47.830634Z,IND,IN-GJ,gu,print_native,,,4,[]
125190,the-week.com,,the-week.com,http://the-week.com/,,online_news,8.0,,2022-12-23T17:43:28.547804Z,2025-10-06T03:15:15.605207Z,IND,IN-KL,en,print_native,,,4,[]
